Government Level,Domain,State,county,city
City,311.sanantonio.gov,TX,Bexas,San Antonio 
City,a860-gpp.nyc.gov,NY,New York,New York
City,acnj.gov,NJ,Atlantic,Atlantic City
City,alexandriava.gov,VA,Fairfax,Alexandria
City,amherstma.gov,MA,Hampshire,Amherst
City,andoverma.gov,MA,Essex,Andover
City,annapolis.gov,MD,Anne Arundel,Annapolis
City,arlingtonma.gov,MA,Middlesex,Arlington
City,atlas.phila.gov,PA,Philadelphia,Philadelphia
City,austintexas.gov,TX,Travis,Austin 
City,avonct.gov,CT,Hartford,Avon
City,bedfordma.gov,MA,Middlesex,Bedford
City,bellportvillageny.gov,NY,Suffolk,Bellport 
City,beloitwi.gov,WI,Rock,Beloit 
City,berkeleyca.gov,CA,Alameda,Berkeley
City,bloomfieldct.gov,CT,Hartford,Bloomfield
City,boe.baltimorecity.gov,MD,Baltimore,Baltimore
City,boston.gov,MA,Suffolk,Boston 
City,bouldercolorado.gov,CO,Boulder ,Boulder 
City,braintreema.gov,MA,Norfolk,Braintree
City,bridgeportct.gov,CT,Fairfield,Bridgeport 
City,brightonco.gov,CO,Adams,Brighton
City,bristolct.gov,CT,Hartford,Bristol
City,brooklinema.gov,MA,Norfolk,Brookline
City,brownsvilletx.gov,TX,Cameron,Brownsville 
City,cabq.gov,NM,Bernalillo,Albuquerque
City,cambridgema.gov,MA,Middlesex,Cambridge
City,capecoral.gov,FL,Lee,Cape Coral
City,centralfallsri.gov,RI,Providence,Central Falls 
City,charlottesville.gov,VA,Albemarle,Charlottesville 
City,chelmsfordma.gov,MA,Middlesex,Chelmsford
City,chelseama.gov,MA,Suffolk,Chelsea 
City,chicagoelections.gov,IL,Cook,Chicago
City,chippewafalls-wi.gov,WI,Chippewa,Chippewa Falls
City,chnj.gov,NJ,Camden,Cherry Hill
City,ci.southbridge.ma.us,MA,Worcester,Southbridge
City,city.milwaukee.gov,WI,Milwaukee,Milwaukee
City,cityofabbotsfordwi.gov,WI,Marathon,Abbotsford 
City,cityofboston.gov,MA,Suffolk,Boston
City,cityofeverett.com,MA,Middlesex,Everett
City,cityoflakegeneva.gov,WI,Walworth,Lake Geneva 
City,cityoflawrence.com,MA,Essex,Lawrence
City,cityofsacramento.gov,CA,Sacramento,Sacramento
City,clerk.lacity.gov,CA,Los Angeles,Los Angeles
City,clintonma.gov,MA,Worcester,Clinton 
City,coloradosprings.gov,CO,El Paso,Colorado Springs
City,concordma.gov,MA,Middlesex,Concord
City,council.nyc.gov,NY,New York,New York
City,cranstonri.gov,RI,Providence,Cranston
City,dalharttx.gov,TX,Dallam,Dalhart 
City,danversma.gov,MA,Essex,Danvers
City,darienct.gov,CT,Fairfield,Darien
City,data.jerseycitynj.gov,NJ,Hudson,Jersey
City,dedham-ma.gov,MA,Norfolk,Dedham
City,delraybeachfl.gov,FL,Palm Beach,Delray Beach
City,deperewi.gov,WI,Brown,De Pere
City,detroitmi.gov,MI,Wayne,Detroit 
City,easthamptonma.gov,MA,Hampshire,East Hampton
City,easthartfordct.gov,CT,Hartford,East Hartford 
City,eastprovidenceri.gov,RI,Providence,East Providence
City,eauclairewi.gov,WI,Chippewa,Eau Claire
City,electionresults.hartfordct.gov,CT,Hartford,Hartford 
City,enfield-ct.gov,CT,Hartford,Enfield
City,fallschurchva.gov,VA,Fairfax,Falls Church 
City,fitchburgma.gov,MA,Worcester,Fitchburg 
City,fitchburgwi.gov,WI,Dane,Fitchburg 
City,flowermound.gov,TX,Denton,Flower Mound
City,fortworthtexas.gov,TX,Tarrant,Fort Worth
City,framinghamma.gov,MA,Middlesex,Framingham
City,franklinwi.gov,WI,Milwaukee,Franklin
City,fredericksburgva.gov,VA,Spotsylvania,Fredericksburg 
City,gaithersburgmd.gov,MD,Montgomery,Gaithersburg
City,gardner-ma.gov,MA,Worcester,Gardner
City,garlandtx.gov,TX,Dallas,Garland
City,glastonburyct.gov,CT,Hartford,Glastonbury
City,glendale-wi.gov,WI,Milwaukee,Glendale
City,grafton-ma.gov,MA,Worcester,Grafton
City,grandrapidsmi.gov,MI,Kent,Grand Rapids
City,greenbaywi.gov,WI,Brown,Green Bay 
